Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
15/08/2016,AA1598,Charlotte / Douglas (CLT/KCLT),Miami / Miami International (MIA/KMIA),20:15:00,22:21:00,02:06:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N834NN,,3,1,2,,575,1831,4,231
19/08/2016,DL1829,Miami / Miami International (MIA/KMIA),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),11:35:00,14:50:00,03:15:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-88 (MD88),N904DE,,3,1,2,,1831,756,223,1189
17/12/2016,AA3491,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Chicago / O'Hare (ORD/KORD),12:12:00,12:40:00,01:28:00,American Airlines (AA/AAL),Bombardier CRJ-700 (CRJ7),N504AE,,1,1,1,,756,2205,4,530
17/12/2016,SK946,Chicago / O'Hare (ORD/KORD),Stockholm / Arlanda (ARN/ESSA),19:45:00,11:10:00,08:25:00,Scandinavian Airlines (SK/SAS),Airbus A330-300 (A333),LNRKS,,2,1,1,,2205,3622,677,31
18/12/2016,SK1744,Stockholm / Arlanda (ARN/ESSA),Tallinn / Ulemiste (TLL/EETN),15:00:00,17:10:00,01:10:00,Scandinavian Airlines (SK/SAS),ATR 72-200 (AT72),OYJZE,,1,1,1,,3622,2956,677,153
02/01/2017,SK749,Tallinn / Ulemiste (TLL/EETN),Stockholm / Arlanda (ARN/ESSA),10:55:00,11:10:00,01:15:00,Scandinavian Airlines (SK/SAS),ATR 72-200 (AT72),,,1,1,1,,2956,3622,677,153
02/01/2017,SK945,Stockholm / Arlanda (ARN/ESSA),Chicago / O'Hare (ORD/KORD),16:35:00,18:35:00,09:00:00,Scandinavian Airlines (SK/SAS),Airbus A330-300 (A333),,,2,1,1,,3622,2205,677,31
02/01/2017,AA3547,Chicago / O'Hare (ORD/KORD),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),21:41:00,23:55:00,01:14:00,American Airlines (AA/AAL),Bombardier CRJ-700 (CRJ7),,,1,1,1,,2205,756,4,530
28/02/2017,DL4563,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Newark / Liberty International (EWR/KEWR),10:10:00,12:10:00,02:00:00,Delta Air Lines (DL/DAL),Bombardier CRJ-700 (CRJ7),,,1,1,1,,756,851,223,530
05/03/2017,DL6304,Newark / Liberty International (EWR/KEWR),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),18:50:00,21:03:00,02:13:00,Delta Air Lines (DL/DAL),Bombardier CRJ-700 (CRJ7),,,1,1,1,,851,756,223,530
04/05/2017,DL1948,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Philadelphia / Philadelphia (PHL/KPHL),10:21:00,11:55:00,01:34:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N969AT,,1,1,2,,756,2311,223,220
07/05/2017,DL1948,Philadelphia / Philadelphia (PHL/KPHL),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),12:50:00,14:30:00,01:40:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N967AT,,1,1,2,,2311,756,223,220
23/05/2017,NK110,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Boston / Logan (BOS/KBOS),07:40:00,09:34:00,01:54:00,Spirit Airlines (NK/NKS),Airbus A319 (A319),N516NK,,1,1,1,,756,380,565,26
27/05/2017,NK109,Boston / Logan (BOS/KBOS),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),20:59:00,23:03:00,02:04:00,Spirit Airlines (NK/NKS),Airbus A319 (A319),N531NK,,1,1,1,,380,756,565,26
25/06/2017,UA4502,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Chicago / O'Hare (ORD/KORD),16:45:00,17:08:00,01:23:00,United Airlines (UA/UAL),Bombardier CRJ-700 (CRJ7),N162GJ,,1,1,2,,756,2205,808,530
25/06/2017,LO4,Chicago / O'Hare (ORD/KORD),Warsaw / Chopin (Okecie) (WAW/EPWA),21:25:00,13:30:00,09:05:00,LOT (LO/LOT),Boeing 787-8 (B788),SPLRC,,1,1,2,,2205,3142,483,2087
26/06/2017,LO787,Warsaw / Chopin (Okecie) (WAW/EPWA),Tallinn / Ulemiste (TLL/EETN),14:40:00,17:15:00,01:35:00,LOT (LO/LOT),Bombardier CRJ-900 (CRJ9),ESACI,,3,1,2,,3142,2956,483,531
19/07/2017,BT461,Riga / Riga (RIX/EVRA),Warsaw / Chopin (Okecie) (WAW/EPWA),07:50:00,08:15:00,01:25:00,AirBaltic (BT/BTI),Bombardier Dash 8-400 (DH8D),YLBAJ,,1,1,1,,3623,3142,154,610
